id,web_name,club,pos,price,own
1,Raya,ARS,GKP,6.0,30.7
2,Arrizabalaga,ARS,GKP,5.0,0.2
3,Meslier,ARS,GKP,5.0,0.1
4,Gabriel,ARS,DEF,8.0,25.9
5,J.Timber,ARS,DEF,6.5,0.5
6,Saliba,ARS,DEF,6.0,0.5
7,Lewis-Skelly,ARS,MID,5.5,0.3
8,Calafiori,ARS,DEF,5.5,15.3
9,Hincapie,ARS,DEF,5.5,4.4
10,White,ARS,DEF,5.5,0.2
11,Mosquera,ARS,DEF,5.5,16.9
12,Saka,ARS,MID,9.5,10.6
13,Rice,ARS,MID,7.5,22.3
14,Eze,ARS,MID,6.5,3.3
15,Ødegaard,ARS,MID,6.5,3.0
16,Madueke,ARS,MID,6.5,0.4
17,Merino,ARS,MID,6.0,1.2
18,Martinelli,ARS,MID,6.5,0.3
19,Zubimendi,ARS,MID,5.5,1.5
20,Dowman,ARS,MID,5.5,0.2
21,Nørgaard,ARS,MID,5.0,0.3
22,Nwaneri,ARS,MID,5.5,0.0
23,Fábio Vieira,ARS,MID,5.5,0.0
24,Nelson,ARS,MID,5.5,0.0
25,Gyökeres,ARS,FWD,7.5,13.0
26,Havertz,ARS,FWD,7.5,4.0
27,G.Jesus,ARS,FWD,6.0,0.4
557,Tzolis,ARS,MID,6.5,1.7
28,Martinez,AVL,GKP,5.0,4.6
29,M.Bizot,AVL,GKP,4.5,0.1
30,Digne,AVL,DEF,4.5,1.4
31,Konsa,AVL,DEF,4.5,17.4
32,Cash,AVL,DEF,4.5,7.8
33,Mings,AVL,DEF,4.5,0.2
34,Pau,AVL,DEF,4.5,0.2
35,Bogarde,AVL,MID,5.0,0.1
36,Maatsen,AVL,DEF,4.5,0.6
37,Lindelöf,AVL,DEF,4.5,0.2
38,A.García,AVL,DEF,4.0,1.5
39,Nedeljkovic,AVL,DEF,4.0,0.4
41,Buendía,AVL,MID,6.0,0.8
42,Guessand,AVL,MID,5.5,0.0
44,Bailey,AVL,MID,5.5,0.1
45,McGinn,AVL,MID,5.5,2.7
46,Barkley,AVL,MID,5.0,0.2
47,Kamara,AVL,MID,5.0,0.1
48,Onana,AVL,MID,5.0,0.0
49,Iling Jr,AVL,MID,5.0,0.0
50,Burrowes,AVL,MID,4.5,0.9
51,George Hemmings,AVL,MID,4.5,0.3
52,Alysson,AVL,MID,5.0,0.0
53,Manzambi,AVL,MID,6.0,2.5
54,Gomes,AVL,MID,5.5,0.3
55,Watkins,AVL,FWD,8.0,12.4
56,Abraham,AVL,FWD,5.5,0.0
160,Garnacho,AVL,MID,6.0,1.1
57,Petrović,BOU,GKP,4.5,3.6
58,Forster,BOU,GKP,4.0,3.1
59,Dennis,BOU,GKP,4.0,0.2
60,Hill,BOU,DEF,5.5,1.3
61,Truffert,BOU,DEF,5.5,4.6
62,Diakité,BOU,DEF,5.0,0.2
63,Milosavljević,BOU,DEF,5.0,0.1
64,Smith,BOU,DEF,4.5,0.1
65,J.Araujo,BOU,DEF,4.5,0.1
66,Soler,BOU,DEF,4.0,0.6
67,Rayan,BOU,MID,6.5,3.4
68,Tavernier,BOU,MID,6.0,1.9
69,Scott,BOU,MID,6.0,1.6
70,Kluivert,BOU,MID,6.0,0.9
71,Cook,BOU,MID,5.0,0.1
72,Gannon-Doak,BOU,MID,5.0,0.1
73,Adams,BOU,MID,5.0,0.7
74,Brooks,BOU,MID,5.0,0.2
75,Christie,BOU,MID,5.0,0.0
76,Tóth.A,BOU,MID,5.0,0.0
77,Adli,BOU,MID,5.0,0.2
78,Kroupi.Jr,BOU,MID,7.5,6.2
